file,xmin,xmax,ymin,ymax
burnham/20200919_181417.MOV,0.12,0.8,0.26,1.0
parsons/clark_division.mp4,0.19,0.85,0.11,0.95
../../../data/cv/vid/burnham/55/20200915_142000.MOV,0.23,0.73,0.36,0.94
../../../data/cv/vid/burnham/55/20200915_152000.MOV,0.26,0.76,0.36,0.93
../../../data/cv/vid/burnham/55/20200915_165000.MOV,0.22,0.71,0.36,0.94
../../../data/cv/vid/burnham/55/20200916_151626.MOV,0.07,0.86,0.22,1.0
../../../data/cv/vid/burnham/55/20200917_162646.MOV,0.12,0.76,0.21,0.96
../../../data/cv/vid/burnham/55/20200917_195525.MOV,0.19,0.86,0.27,1.0
../../../data/cv/vid/burnham/55/20200918_065152.MOV,0.15,0.84,0.27,1.0
../../../data/cv/vid/burnham/55/20200918_093336.MOV,0.21,0.84,0.25,0.98
../../../data/cv/vid/burnham/55/20200918_124937.MOV,0.19,0.83,0.26,0.99
../../../data/cv/vid/burnham/55/20200918_154454.MOV,0.15,0.98,0.19,1.0
../../../data/cv/vid/burnham/55/20200918_184944.MOV,0.12,0.92,0.22,1.0
../../../data/cv/vid/burnham/55/20200919_074518.MOV,0.12,0.77,0.25,1.0
../../../data/cv/vid/burnham/55/20200919_101951.MOV,0.14,0.79,0.25,0.99
../../../data/cv/vid/burnham/55/20200919_115822.MOV,0.13,0.78,0.24,0.98
../../../data/cv/vid/burnham/55/20200919_143313.MOV,0.14,0.83,0.25,1.0
../../../data/cv/vid/burnham/55/20200919_160919.MOV,0.19,0.84,0.28,1.0
../../../data/cv/vid/burnham/55/20200919_181417.MOV,0.12,0.8,0.26,1.0
../../../data/cv/vid/burnham/55/20200920_073831.MOV,0.12,0.82,0.21,1.0
../../../data/cv/vid/burnham/55/20200920_095520.MOV,0.14,0.81,0.29,1.0
../../../data/cv/vid/burnham/55/20200920_120316.MOV,0.13,0.8,0.29,1.0
../../../data/cv/vid/burnham/55/20200920_145837.MOV,0.11,0.79,0.29,1.0
../../../data/cv/vid/burnham/55/20200920_171039.MOV,0.16,0.81,0.32,1.0
../../../data/cv/vid/burnham/55/20200920_192424.MOV,0.14,0.78,0.31,1.0
../../../data/cv/vid/burnham/55/20200921_064811.MOV,0.09,0.9,0.14,1.0
../../../data/cv/vid/burnham/55/20200921_085010.MOV,0.18,0.81,0.32,1.0
../../../data/cv/vid/burnham/55/20200921_113037.MOV,0.11,0.91,0.19,1.0
../../../data/cv/vid/burnham/55/20200921_135220.MOV,0.09,0.88,0.17,1.0
../../../data/cv/vid/burnham/55/20200921_160817.MOV,0.16,0.8,0.26,0.98
../../../data/cv/vid/burnham/55/20200921_175811.MOV,0.14,0.79,0.26,0.97
../../../data/cv/vid/burnham/55/20200922_065212.MOV,0.2,0.86,0.29,1.0
../../../data/cv/vid/burnham/55/20200922_091533.MOV,0.19,0.85,0.29,1.0
../../../data/cv/vid/burnham/55/20200922_112514.MOV,0.18,0.85,0.28,1.0
../../../data/cv/vid/burnham/55/20200922_131712.MOV,0.14,0.82,0.28,1.0
../../../data/cv/vid/burnham/55/20200922_155850.MOV,0.18,0.83,0.28,1.0
../../../data/cv/vid/burnham/55/20200922_181007.MOV,0.1,0.77,0.26,1.0
../../../data/cv/vid/burnham/55/20200922_190633.MOV,0.12,0.81,0.28,1.0
../../../data/cv/vid/burnham/55/20200923_065522.MOV,0.15,0.87,0.23,1.0
../../../data/cv/vid/burnham/55/20200923_091825.MOV,0.16,0.84,0.23,1.0
../../../data/cv/vid/burnham/55/20200923_114007.MOV,0.2,0.84,0.25,1.0
../../../data/cv/vid/burnham/55/20200923_134213.MOV,0.21,0.9,0.2,1.0
../../../data/cv/vid/burnham/55/20200923_155412.MOV,0.22,0.88,0.22,1.0
../../../data/cv/vid/burnham/55/20200923_175622.MOV,0.23,0.86,0.21,1.0
../../../data/cv/vid/burnham/55/20200924_063944.MOV,0.16,0.83,0.23,1.0
../../../data/cv/vid/burnham/55/20200924_115419.MOV,0.16,0.84,0.2,1.0
../../../data/cv/vid/burnham/55/20200924_140634.MOV,0.13,0.82,0.18,1.0
../../../data/cv/vid/burnham/55/20200924_162416.MOV,0.1,0.79,0.21,1.0
../../../data/cv/vid/burnham/55/20200924_183117.MOV,0.1,0.82,0.19,1.0
../../../data/cv/vid/burnham/55/20200925_065207.MOV,0.07,0.85,0.16,1.0
../../../data/cv/vid/burnham/55/20200925_090915.MOV,0.18,0.75,0.33,1.0
../../../data/cv/vid/burnham/55/20200925_104728.MOV,0.1,0.76,0.27,1.0
../../../data/cv/vid/burnham/55/20200925_134238.MOV,0.13,0.8,0.36,1.0
../../../data/cv/vid/burnham/55/20200925_160132.MOV,0.12,0.78,0.31,1.0
../../../data/cv/vid/burnham/55/20200925_180524.MOV,0.14,0.84,0.24,1.0
../../../data/cv/vid/burnham/55/20200926_072135.MOV,0.14,0.88,0.24,1.0
../../../data/cv/vid/burnham/55/20200926_092749.MOV,0.13,0.85,0.16,1.0
../../../data/cv/vid/burnham/55/20200926_125100.MOV,0.18,0.78,0.31,0.98
../../../data/cv/vid/burnham/55/20200926_154208.MOV,0.15,0.75,0.32,1.0
../../../data/cv/vid/burnham/55/20200926_181128.MOV,0.15,0.79,0.31,1.0
../../../data/cv/vid/burnham/55/20200927_072219.MOV,0.16,0.78,0.3,1.0
../../../data/cv/vid/burnham/55/20200927_094646.MOV,0.16,0.79,0.32,1.0
../../../data/cv/vid/burnham/55/20200927_122218.MOV,0.19,0.78,0.27,0.97
../../../data/cv/vid/burnham/55/20200927_143601.MOV,0.2,0.77,0.3,0.92
../../../data/cv/vid/burnham/55/20200927_163132.MOV,0.2,0.8,0.28,0.95
../../../data/cv/vid/burnham/55/20201009_120235.mp4,0.0,0.65,0.41,0.91
../../../data/cv/vid/burnham/55/20201009_170002.mp4,0.0,0.53,0.44,0.9
